T1,H1,S1,G1,F1,T2,H2,S2,G2,F2,T3,H3,S3,G3,F3,T4,H4,S4,G4,F4,CLASS_LABEL
30.5,68.36,0.0,7.0,0.0,30.04,69.18,0.0,0.0,0.0,30.64,66.53,0.0,59.0,0.0,33.1,64.92,0.0,0.0,0.0,0.0
42.32,48.77,0.0,0.0,0.0,33.57,70.99,0.0,0.0,0.0,34.41,62.93,0.0,48.0,0.0,41.8,41.62,0.0,0.0,0.0,1.0
30.5,68.31,0.0,9.0,0.0,30.04,69.09,0.0,0.0,0.0,30.61,66.5,0.0,53.0,0.0,33.09,64.85,0.0,0.0,0.0,0.0
32.35,70.19,0.0,0.0,0.0,32.51,70.85,0.0,0.0,0.0,31.46,72.37,0.0,50.0,0.0,33.96,62.72,0.0,0.0,0.0,0.0
32.55,59.67,0.0,14.0,0.0,72.71,54.16,0.0,123.0,0.0,31.34,62.51,0.0,33.0,0.0,32.88,16.45,0.0,34.0,0.0,1.0
30.51,68.38,0.0,7.0,0.0,30.06,69.24,0.0,0.0,0.0,30.68,66.45,0.0,45.0,0.0,33.1,64.93,0.0,0.0,0.0,0.0
30.5,68.38,0.0,7.0,0.0,30.04,69.2,0.0,0.0,0.0,30.63,66.53,0.0,55.0,0.0,33.11,64.92,0.0,0.0,0.0,0.0
37.72,46.17,0.0,16.0,0.0,35.45,53.83,0.0,0.0,0.0,58.7,19.22,0.0,5.0,2065.0,34.22,100.0,0.0,23.0,0.0,1.0
30.76,68.18,0.0,2.0,0.0,30.53,69.51,0.0,0.0,0.0,31.15,65.6,0.0,57.0,0.0,33.24,65.03,0.0,0.0,0.0,0.0
40.5,50.42,0.0,0.0,787.0,41.47,41.96,0.0,0.0,0.0,41.32,45.15,0.0,5.0,0.0,44.45,36.13,0.0,7.0,0.0,1.0
30.34,67.91,0.0,9.0,0.0,29.87,68.46,0.0,0.0,0.0,30.38,66.57,0.0,51.0,0.0,32.85,64.24,0.0,0.0,0.0,0.0
30.54,68.35,0.0,8.0,0.0,30.16,69.27,0.0,0.0,0.0,30.71,66.43,0.0,57.0,0.0,33.13,64.95,0.0,0.0,0.0,0.0
30.59,68.36,0.0,8.0,0.0,30.23,69.32,0.0,0.0,0.0,30.79,66.37,0.0,55.0,0.0,33.15,64.98,0.0,0.0,0.0,0.0
32.19,70.01,0.0,0.0,0.0,32.42,70.93,0.0,0.0,0.0,31.93,70.41,0.0,51.0,0.0,34.52,60.44,0.0,0.0,0.0,0.0
46.0,43.41,0.0,0.0,4033.0,42.0,42.92,0.0,0.0,0.0,39.39,51.83,0.0,11.0,0.0,40.63,48.09,0.0,12.0,0.0,1.0
39.51,53.37,0.0,0.0,0.0,38.69,59.75,0.0,0.0,0.0,34.18,63.56,0.0,50.0,0.0,40.26,44.77,0.0,0.0,0.0,1.0
30.49,68.38,0.0,13.0,0.0,30.04,69.2,0.0,0.0,0.0,30.66,66.46,0.0,59.0,0.0,33.08,64.92,0.0,0.0,0.0,0.0
30.5,68.21,0.0,7.0,0.0,29.98,68.78,0.0,0.0,0.0,30.53,66.64,0.0,54.0,0.0,32.99,64.61,0.0,0.0,0.0,0.0
30.5,68.13,0.0,6.0,0.0,29.98,68.73,0.0,0.0,0.0,30.53,66.63,0.0,58.0,0.0,32.95,64.53,0.0,0.0,0.0,0.0
